Step,Entity,X_Coord,Y_Coord,Label
0,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
1,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
2,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
3,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
4,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
5,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
6,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
7,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
8,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
9,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
10,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
11,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
12,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
13,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
14,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
15,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
16,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
17,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
18,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
19,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
20,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
21,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
22,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
23,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
24,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
25,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
26,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
27,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
28,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
29,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
30,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
31,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
32,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
33,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
34,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
35,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
36,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
37,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
38,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
39,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
40,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
41,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
42,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
43,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
44,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
45,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
46,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
47,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
48,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
49,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
50,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
51,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
52,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
53,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
54,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
55,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
56,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
57,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
58,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
59,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
60,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
61,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
62,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
63,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
64,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
65,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
66,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
67,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
68,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
69,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
70,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4613,51.373299,0
71,2016-01-21_09:26:40-2016-01-21_09:33:25_B_TianjinChina-HamburgGermany,12.4109,51.3927,0
0,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
1,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
2,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
3,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
4,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
5,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
6,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
7,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
8,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
9,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
10,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
11,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
12,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
13,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
14,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
15,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
16,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
17,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
18,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
19,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
20,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
21,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
22,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
23,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
24,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
25,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
26,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
27,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
28,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
29,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
30,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
31,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
32,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
33,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
34,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
35,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
36,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
37,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
38,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
39,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
40,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
41,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
42,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
43,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
44,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
45,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
46,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
47,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
48,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
49,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
50,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
51,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
52,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
53,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
54,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3987,51.388699,0
55,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3991,51.3899,0
56,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3991,51.3899,0
57,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3991,51.3899,0
58,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3993,51.3895,0
59,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3993,51.3895,0
60,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3993,51.3895,0
61,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.4,51.390598,0
62,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.4,51.390598,0
63,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.4,51.390598,0
64,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3991,51.389599,0
65,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3991,51.389599,0
66,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3991,51.389599,0
67,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.4125,51.373501,0
68,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.432,51.371601,0
69,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.432,51.371601,0
70,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.3665,51.6763,0
71,2016-01-21_15:46:31-2016-01-23_01:46:52_E_HamburgGermany-TianjinChina,12.4095,51.690701,0
0,2016-01-21_21:32:25-2016-01-22_09:32:07_B_HamburgGermany-TianjinChina,12.3987,51.390598,0
1,2016-01-21_21:32:25-2016-01-22_09:32:07_B_HamburgGermany-TianjinChina,12.3987,51.390598,0
2,2016-01-21_21:32:25-2016-01-22_09:32:07_B_HamburgGermany-TianjinChina,12.3987,51.390598,0
3,2016-01-21_21:32:25-2016-01-22_09:32:07_B_HamburgGermany-TianjinChina,12.3987,51.390598,0
4,2016-01-21_21:32:25-2016-01-22_09:32:07_B_HamburgGermany-TianjinChina,12.3987,51.390598,0
5,2016-01-21_21:32:25-2016-01-22_09:32:07_B_HamburgGermany-TianjinChina,12.3987,51.390598,0
6,2016-01-21_21:32:25-2016-01-22_09:32:07_B_HamburgGermany-TianjinChina,12.3987,51.390598,0
7,2016-01-21_21:32:25-2016-01-22_09:32:07_B_HamburgGermany-TianjinChina,12.3987,51.390598,0
8,2016-01-21_21:32:25-2016-01-22_09:32:07_B_HamburgGermany-TianjinChina,12.3987,51.390598,0
9,2016-01-21_21:32:25-2016-01-22_09:32:07_B_HamburgGermany-TianjinChina,12.3987,51.390598,0
10,2016-01-21_21:32:25-2016-01-22_09:32:07_B_HamburgGermany-TianjinChina,12.3987,51.390598,0
11,2016-01-21_21:32:25-2016-01-22_09:32:07_B_HamburgGermany-TianjinChina,12.3987,51.390598,0
12,2016-01-21_21:32:25-2016-01-22_09:32:07_B_HamburgGermany-TianjinChina,12.3987,51.390598,0
13,2016-01-21_21:32:25-2016-01-22_09:32:07_B_HamburgGermany-TianjinChina,12.3987,51.390598,0
14,2016-01-21_21:32:25-2016-01-22_09:32:07_B_HamburgGermany-TianjinChina,12.3987,51.390598,0
15,2016-01-21_21:32:25-2016-01-22_09:32:07_B_HamburgGermany-TianjinChina,12.3987,51.390598,0
16,2016-01-21_21:32:25-2016-01-22_09:32:07_B_HamburgGermany-TianjinChina,12.3987,51.390598,0
17,2016-01-21_21:32:25-2016-01-22_09:32:07_B_HamburgGermany-TianjinChina,12.3987,51.390598,0
18,2016-01-21_21:32:25-2016-01-22_09:32:07_B_HamburgGermany-TianjinChina,12.3987,51.390598,0
19,2016-01-21_21:32:25-2016-01-22_09:32:07_B_HamburgGermany-TianjinChina,12.3987,51.390598,0
20,2016-01-21_21:32:25-2016-01-22_09:32:07_B_HamburgGermany-TianjinChina,12.3987,51.390598,0
21,2016-01-21_21:32:25-2016-01-22_09:32:07_B_HamburgGermany-TianjinChina,12.3987,51.390598,0
22,2016-01-21_21:32:25-2016-01-22_09:32:07_B_HamburgGermany-TianjinChina,12.3987,51.390598,0
23,2016-01-21_21:32:25-2016-01-22_09:32:07_B_HamburgGermany-TianjinChina,12.3987,51.390598,0
24,2016-01-21_21:32:25-2016-01-22_09:32:07_B_HamburgGermany-TianjinChina,12.3987,51.390598,0
25,2016-01-21_21:32:25-2016-01-22_09:32:07_B_HamburgGermany-TianjinChina,12.3987,51.390598,0
26,2016-01-21_21:32:25-2016-01-22_09:32:07_B_HamburgGermany-TianjinChina,12.3987,51.390598,0
