Step,Entity,X_Coord,Y_Coord,Label
0,2016-01-23_16:54:55-2016-01-23_18:50:19_E_QinzhouChina-TianjinChina,20.0222,52.041698,0
1,2016-01-23_16:54:55-2016-01-23_18:50:19_E_QinzhouChina-TianjinChina,20.0222,52.041698,0
2,2016-01-23_16:54:55-2016-01-23_18:50:19_E_QinzhouChina-TianjinChina,20.0222,52.041698,0
3,2016-01-23_16:54:55-2016-01-23_18:50:19_E_QinzhouChina-TianjinChina,20.0222,52.041698,0
4,2016-01-23_16:54:55-2016-01-23_18:50:19_E_QinzhouChina-TianjinChina,20.0222,52.041698,0
5,2016-01-23_16:54:55-2016-01-23_18:50:19_E_QinzhouChina-TianjinChina,20.0222,52.041698,0
6,2016-01-23_16:54:55-2016-01-23_18:50:19_E_QinzhouChina-TianjinChina,20.0222,52.041698,0
7,2016-01-23_16:54:55-2016-01-23_18:50:19_E_QinzhouChina-TianjinChina,20.0222,52.041698,0
8,2016-01-23_16:54:55-2016-01-23_18:50:19_E_QinzhouChina-TianjinChina,20.0222,52.041698,0
9,2016-01-23_16:54:55-2016-01-23_18:50:19_E_QinzhouChina-TianjinChina,20.0222,52.041698,0
10,2016-01-23_16:54:55-2016-01-23_18:50:19_E_QinzhouChina-TianjinChina,20.0222,52.041698,0
11,2016-01-23_16:54:55-2016-01-23_18:50:19_E_QinzhouChina-TianjinChina,20.0222,52.041698,0
12,2016-01-23_16:54:55-2016-01-23_18:50:19_E_QinzhouChina-TianjinChina,20.0222,52.041698,0
13,2016-01-23_16:54:55-2016-01-23_18:50:19_E_QinzhouChina-TianjinChina,20.0222,52.041698,0
14,2016-01-23_16:54:55-2016-01-23_18:50:19_E_QinzhouChina-TianjinChina,20.0222,52.041698,0
15,2016-01-23_16:54:55-2016-01-23_18:50:19_E_QinzhouChina-TianjinChina,20.0222,52.041698,0
16,2016-01-23_16:54:55-2016-01-23_18:50:19_E_QinzhouChina-TianjinChina,20.0222,52.041698,0
17,2016-01-23_16:54:55-2016-01-23_18:50:19_E_QinzhouChina-TianjinChina,20.0222,52.041698,0
18,2016-01-23_16:54:55-2016-01-23_18:50:19_E_QinzhouChina-TianjinChina,20.0222,52.041698,0
19,2016-01-23_16:54:55-2016-01-23_18:50:19_E_QinzhouChina-TianjinChina,20.0222,52.041698,0
20,2016-01-23_16:54:55-2016-01-23_18:50:19_E_QinzhouChina-TianjinChina,20.0222,52.041698,0
21,2016-01-23_16:54:55-2016-01-23_18:50:19_E_QinzhouChina-TianjinChina,20.0222,52.041698,0
22,2016-01-23_16:54:55-2016-01-23_18:50:19_E_QinzhouChina-TianjinChina,20.0222,52.041698,0
23,2016-01-23_16:54:55-2016-01-23_18:50:19_E_QinzhouChina-TianjinChina,20.0222,52.041698,0
24,2016-01-23_16:54:55-2016-01-23_18:50:19_E_QinzhouChina-TianjinChina,20.0222,52.041698,0
25,2016-01-23_16:54:55-2016-01-23_18:50:19_E_QinzhouChina-TianjinChina,20.0222,52.041698,0
26,2016-01-23_16:54:55-2016-01-23_18:50:19_E_QinzhouChina-TianjinChina,20.0222,52.041698,0
27,2016-01-23_16:54:55-2016-01-23_18:50:19_E_QinzhouChina-TianjinChina,20.0222,52.041698,0
28,2016-01-23_16:54:55-2016-01-23_18:50:19_E_QinzhouChina-TianjinChina,20.0222,52.041698,0
29,2016-01-23_16:54:55-2016-01-23_18:50:19_E_QinzhouChina-TianjinChina,20.0222,52.041698,0
30,2016-01-23_16:54:55-2016-01-23_18:50:19_E_QinzhouChina-TianjinChina,20.0222,52.041698,0
31,2016-01-23_16:54:55-2016-01-23_18:50:19_E_QinzhouChina-TianjinChina,20.0222,52.041698,0
32,2016-01-23_16:54:55-2016-01-23_18:50:19_E_QinzhouChina-TianjinChina,20.0222,52.041698,0
