Step,Entity,X_Coord,Y_Coord,Label
0,1,1.0,-1.0,0
0,2,3.0,6.0,0
0,3,3.0,-4.0,0
0,4,1.0,3.0,0
0,5,1.0,1.0,0
0,6,3.0,8.0,1
0,7,2.0,-5.0,0
0,8,2.0,-4.0,1
0,9,3.0,2.0,0
0,10,2.0,4.0,0
0,11,2.0,3.0,0
0,12,2.0,2.0,1
0,13,2.0,6.0,0
0,14,2.0,-1.0,0
0,15,3.0,7.0,0
0,16,1.0,3.0,0
0,17,3.0,8.0,0
0,18,1.0,-2.0,1
0,19,3.0,1.0,0
0,20,2.0,-5.0,0
0,21,2.0,8.0,0
0,22,1.0,-3.0,1
0,23,3.0,5.0,1
0,24,3.0,-4.0,1
0,25,3.0,-3.0,1
0,26,2.0,-1.0,0
0,27,2.0,-6.0,0
0,28,2.0,-6.0,0
0,29,1.0,-2.0,0
0,30,2.0,5.0,0
0,31,3.0,-3.0,0
0,32,3.0,3.0,0
0,33,1.0,-3.0,1
0,34,2.0,8.0,0
0,35,1.0,-6.0,0
0,36,1.0,6.0,0
0,37,3.0,-3.0,1
0,38,2.0,-2.0,1
0,39,1.0,-3.0,0
0,40,2.0,-2.0,0
0,41,1.0,-6.0,1
0,42,3.0,6.0,0
0,43,3.0,7.0,0
0,44,3.0,-2.0,0
0,45,1.0,-3.0,0
0,46,1.0,6.0,0
0,47,3.0,-6.0,0
0,48,2.0,7.0,0
0,49,1.0,4.0,0
0,50,3.0,6.0,0
0,51,1.0,-5.0,0
0,52,2.0,-5.0,0
0,53,1.0,-5.0,1
0,54,1.0,-1.0,0
0,55,2.0,-4.0,0
0,56,2.0,-2.0,1
0,57,1.0,-2.0,0
0,58,3.0,-4.0,1
0,59,1.0,8.0,1
0,60,1.0,-1.0,1
0,61,1.0,1.0,1
0,62,3.0,-5.0,1
0,63,2.0,1.0,0
0,64,2.0,-1.0,0
0,65,2.0,-6.0,0
0,66,3.0,8.0,0
0,67,2.0,-2.0,0
0,68,3.0,-4.0,1
0,69,1.0,-3.0,0
0,70,2.0,4.0,1
0,71,2.0,-1.0,0
0,72,1.0,8.0,0
0,73,2.0,2.0,0
0,74,1.0,-2.0,1
0,75,2.0,1.0,0
0,76,2.0,2.0,0
0,77,3.0,-1.0,1
0,78,2.0,4.0,0
0,79,1.0,-3.0,0
0,80,1.0,2.0,0
0,81,1.0,-2.0,1
0,82,3.0,1.0,0
0,83,3.0,-2.0,0
0,84,3.0,4.0,1
0,85,3.0,3.0,0
0,86,3.0,1.0,0
0,87,1.0,1.0,0
0,88,3.0,1.0,1
0,89,1.0,3.0,1
0,90,3.0,8.0,1
0,91,1.0,8.0,0
0,92,2.0,2.0,0
0,93,3.0,2.0,0
0,94,1.0,-6.0,0
0,95,3.0,8.0,1
0,96,1.0,2.0,0
0,97,3.0,6.0,0
0,98,3.0,5.0,1
0,99,3.0,-5.0,0
0,100,3.0,-4.0,1
0,101,3.0,2.0,0
0,102,3.0,-4.0,0
0,103,2.0,-4.0,0
0,104,1.0,-2.0,0
0,105,1.0,-3.0,0
0,106,2.0,-4.0,1
0,107,3.0,-5.0,0
0,108,2.0,-3.0,0
0,109,2.0,-1.0,0
0,110,2.0,5.0,1
0,111,1.0,-1.0,0
0,112,2.0,-5.0,0
0,113,1.0,8.0,0
0,114,3.0,-2.0,0
0,115,1.0,1.0,0
0,116,2.0,-4.0,1
0,117,1.0,1.0,0
0,118,1.0,-6.0,1
0,119,2.0,7.0,0
0,120,2.0,-2.0,0
0,121,3.0,8.0,0
0,122,1.0,2.0,1
0,123,3.0,5.0,0
0,124,3.0,6.0,1
0,125,1.0,2.0,1
0,126,1.0,-1.0,0
0,127,1.0,7.0,1
0,128,3.0,4.0,1
0,129,1.0,4.0,0
0,130,2.0,-2.0,0
0,131,2.0,-6.0,1
0,132,2.0,-2.0,1
0,133,3.0,-4.0,0
0,134,2.0,6.0,0
0,135,2.0,3.0,1
0,136,1.0,3.0,0
0,137,1.0,3.0,0
0,138,1.0,5.0,0
0,139,1.0,-5.0,1
0,140,1.0,5.0,0
