Step,Entity,X_Coord,Y_Coord,Label
0,1,1.0,-2.0,0
0,2,2.0,6.0,0
0,3,1.0,3.0,0
0,4,1.0,-1.0,0
0,5,2.0,-4.0,0
0,6,2.0,-1.0,0
0,7,1.0,3.0,0
0,8,3.0,5.0,0
0,9,3.0,-5.0,0
0,10,1.0,-2.0,0
0,11,3.0,2.0,0
0,12,3.0,-4.0,0
0,13,3.0,1.0,0
0,14,3.0,-6.0,0
0,15,2.0,-5.0,0
0,16,2.0,3.0,0
0,17,2.0,-6.0,0
0,18,3.0,5.0,0
0,19,2.0,6.0,0
0,20,1.0,1.0,0
0,21,3.0,6.0,0
0,22,2.0,1.0,0
0,23,2.0,6.0,0
0,24,3.0,-5.0,0
0,25,1.0,-5.0,0
0,26,1.0,7.0,0
0,27,3.0,-3.0,0
0,28,1.0,7.0,0
0,29,1.0,3.0,0
0,30,3.0,8.0,0
0,31,3.0,-5.0,0
0,32,2.0,1.0,0
0,33,3.0,-6.0,0
0,34,3.0,-2.0,0
0,35,3.0,5.0,0
0,36,1.0,1.0,0
0,37,1.0,3.0,0
0,38,1.0,7.0,0
0,39,3.0,5.0,0
0,40,2.0,-5.0,0
0,41,3.0,5.0,0
0,42,1.0,-5.0,0
0,43,3.0,-3.0,0
0,44,3.0,8.0,0
0,45,1.0,-5.0,0
0,46,1.0,3.0,0
0,47,3.0,-4.0,0
0,48,1.0,-6.0,0
0,49,3.0,-5.0,0
0,50,3.0,-1.0,0
0,51,2.0,2.0,0
0,52,2.0,-2.0,0
0,53,2.0,-3.0,0
0,54,2.0,-4.0,0
0,55,3.0,7.0,0
0,56,2.0,4.0,0
0,57,3.0,8.0,0
0,58,3.0,-6.0,0
0,59,2.0,-1.0,0
0,60,2.0,-1.0,0
0,61,1.0,-4.0,0
0,62,2.0,4.0,0
0,63,2.0,2.0,0
0,64,2.0,-2.0,0
0,65,2.0,-6.0,0
0,66,1.0,8.0,0
0,67,2.0,-6.0,0
0,68,1.0,6.0,0
0,69,2.0,4.0,0
0,70,2.0,-3.0,0
0,71,2.0,2.0,0
