Timestep,Person,Nationality,Gender,X_Coord,Y_Coord,Target
0,1,German,male,1,-4,0
0,2,German,male,3,5,0
0,3,German,male,3,2,0
0,4,African,female,1,-4,0
0,5,African,male,1,-4,0
0,6,Chinese,female,1,-3,0
0,7,African,male,1,-1,0
0,8,Indian,male,2,-5,1
0,9,Indian,female,1,8,1
0,10,German,female,3,-1,0
0,11,Indian,male,3,5,0
0,12,Indian,male,2,3,0
0,13,Indian,male,3,-4,0
0,14,Indian,male,3,7,0
0,15,African,female,1,-4,0
0,16,German,female,2,2,0
0,17,African,female,3,-4,0
0,18,American,male,1,6,0
0,19,German,female,1,-2,0
0,20,American,female,1,-5,1
0,21,Chinese,female,1,-5,0
0,22,American,female,1,-3,0
0,23,German,female,3,5,1
0,24,German,male,1,-3,0
0,25,American,female,2,6,0
0,26,Chinese,female,1,8,0
0,27,German,male,1,-1,0
0,28,Chinese,male,3,-3,0
0,29,German,male,3,-1,0
0,30,American,female,2,3,0
0,31,African,female,2,6,1
0,32,Chinese,male,2,2,0
0,33,Indian,female,1,8,0
0,34,Indian,male,1,5,0
0,35,Indian,male,3,-1,0
0,36,Indian,male,2,-2,0
0,37,American,female,1,1,0
0,38,Chinese,male,3,1,0
0,39,German,female,3,-2,0
0,40,Chinese,female,3,-5,0
0,41,Chinese,male,3,3,0
0,42,German,female,3,3,0
0,43,African,female,1,-3,0
0,44,African,male,1,-6,0
0,45,Chinese,male,1,-1,0
0,46,African,female,1,6,0
0,47,Indian,male,1,-2,0
0,48,Chinese,female,3,3,0
0,49,German,male,1,-6,0
0,50,Chinese,male,2,2,0
0,51,African,female,3,-5,0
0,52,Indian,male,1,-4,0
0,53,Chinese,male,2,5,0
0,54,American,female,3,6,0
0,55,Chinese,male,1,-6,0
0,56,American,male,3,-2,1
0,57,American,male,2,2,0
0,58,African,female,3,3,0
0,59,Chinese,female,1,8,0
0,60,German,male,1,-1,0
0,61,Chinese,female,2,4,1
0,62,African,female,3,-3,0
0,63,German,female,3,-2,0
0,64,German,female,2,7,0
0,65,Indian,male,2,-5,0
0,66,German,female,1,-6,0
0,67,American,female,2,2,0
0,68,Indian,male,1,7,0
0,69,German,male,2,2,0
0,70,Indian,male,1,8,0
0,71,African,male,3,1,0
0,72,Chinese,male,3,5,0
0,73,German,male,1,4,0
0,74,African,female,3,-2,1
0,75,Indian,male,1,-4,0
0,76,African,male,2,6,0
0,77,African,female,3,-2,0
0,78,Indian,female,3,5,0
0,79,American,female,2,5,0
0,80,Indian,female,2,2,0
0,81,African,female,2,-6,0
0,82,American,male,1,-2,0
0,83,American,male,2,1,0
0,84,Indian,male,1,7,0
0,85,American,male,2,6,0
0,86,Indian,male,1,2,0
0,87,American,male,2,3,0
0,88,American,male,3,4,0
0,89,Chinese,male,2,4,0
0,90,African,female,3,8,0
0,91,German,female,1,3,0
0,92,German,female,2,-4,1
0,93,African,male,1,4,0
0,94,Indian,female,3,7,0
0,95,German,male,3,-4,0
0,96,Chinese,female,2,-4,0
0,97,Indian,female,3,4,0
0,98,Chinese,female,2,-1,0
0,99,American,male,3,-3,0
0,100,Indian,male,2,8,0
0,101,Chinese,female,1,3,0
0,102,Indian,male,1,7,0
0,103,American,male,2,2,0
0,104,African,female,1,8,0
0,105,American,female,3,1,1
0,106,African,female,2,-3,0
0,107,German,female,1,8,0
0,108,German,female,1,5,0
0,109,American,female,1,-5,0
0,110,Chinese,female,3,-5,0
0,111,Chinese,male,2,3,0
0,112,Indian,male,2,8,0
0,113,Chinese,female,2,1,0
0,114,African,male,3,-5,0
0,115,Indian,male,1,-3,1
0,116,African,male,3,-2,0
0,117,Indian,female,3,7,0
0,118,German,male,1,8,0
0,119,American,female,2,2,0
0,120,German,female,3,-1,0
0,121,Chinese,female,2,-1,0
0,122,Indian,male,2,3,0
0,123,American,male,1,3,0
0,124,Indian,male,3,4,0
0,125,African,male,3,-3,0
0,126,American,female,1,6,0
0,127,Chinese,male,3,-3,0
0,128,Indian,male,2,-3,0
0,129,Indian,female,2,-1,0
0,130,Indian,female,2,3,0
0,131,German,male,1,1,0
0,132,African,female,2,-3,1
0,133,American,male,1,-1,0
0,134,German,female,3,2,0
0,135,German,female,1,8,0
0,136,German,female,2,1,0
0,137,German,male,1,-3,0
0,138,German,female,2,5,0
0,139,American,male,3,8,0
0,140,African,male,1,7,0
0,141,Indian,female,1,1,0
0,142,American,male,1,-5,0
0,143,German,male,3,2,0
0,144,Chinese,female,3,3,0
0,145,American,female,3,2,0
0,146,Indian,male,2,-2,0
0,147,American,male,2,1,0
0,148,American,male,3,7,0
0,149,Chinese,female,1,7,0
0,150,German,female,3,6,0
0,151,Chinese,female,1,4,0
0,152,Chinese,male,1,-2,0
0,153,Indian,male,2,7,0
0,154,Chinese,female,3,-2,0
0,155,African,male,1,8,0
0,156,American,female,2,7,0
0,157,African,male,1,-5,0
0,158,African,male,1,6,0
0,159,German,female,2,-4,1
0,160,African,male,1,-6,1
0,161,African,female,1,4,0
0,162,American,female,3,8,0
0,163,African,female,2,-3,0
0,164,African,male,2,6,0
0,165,Indian,male,1,2,0
0,166,Indian,male,3,6,1
0,167,German,male,3,-1,0
0,168,Indian,female,1,1,0
0,169,Chinese,male,1,4,0
0,170,Chinese,male,3,-5,0
0,171,African,female,3,1,0
0,172,Chinese,male,1,5,0
0,173,German,male,3,-1,0
0,174,African,female,3,-5,0
0,175,Indian,female,3,5,0
0,176,Indian,female,3,-5,0
0,177,African,female,1,5,0
0,178,American,female,2,6,0
0,179,Indian,male,3,-4,0
0,180,African,female,2,-3,0
0,181,African,male,3,-2,0
0,182,Indian,female,1,5,1
0,183,Indian,male,1,6,0
0,184,Indian,female,1,7,0
0,185,African,female,2,8,0
0,186,German,female,2,1,0
0,187,American,female,3,7,1
0,188,Indian,female,1,5,0
0,189,Chinese,female,2,1,0
0,190,German,female,3,-6,0
0,191,Chinese,male,2,6,0
0,192,German,male,1,4,0
0,193,American,male,1,8,0
0,194,American,female,2,1,1
0,195,Chinese,male,2,-2,0
0,196,Chinese,female,3,4,0
0,197,American,male,1,2,0
0,198,German,male,2,2,0
0,199,German,male,3,-1,0
0,200,African,female,2,6,1
0,201,American,female,1,3,0
0,202,Indian,female,3,-5,0
0,203,Indian,female,3,-2,1
0,204,Indian,male,2,-3,0
0,205,Chinese,male,3,8,0
0,206,German,female,2,-6,0
0,207,German,female,1,4,0
0,208,Indian,female,2,-4,1
0,209,German,female,2,-6,0
0,210,Indian,female,1,5,0
0,211,Indian,male,3,-2,1
0,212,Indian,male,1,2,0
0,213,American,female,1,6,0
0,214,African,female,1,1,0
0,215,American,female,1,1,0
0,216,American,female,3,-2,0
0,217,American,female,2,2,0
0,218,Indian,female,3,-6,0
0,219,Indian,male,1,-3,0
0,220,Chinese,female,2,-1,1
0,221,German,female,2,-1,0
0,222,Indian,female,1,5,0
0,223,Chinese,female,3,4,0
0,224,Indian,female,3,2,0
0,225,African,female,3,7,1
0,226,Indian,male,3,-5,0
0,227,African,male,2,-2,0
0,228,Indian,male,1,-6,0
0,229,American,male,2,7,0
0,230,Indian,female,3,-1,0
0,231,German,female,3,-2,0
0,232,German,male,3,8,0
0,233,American,male,1,2,0
0,234,Indian,female,2,3,0
0,235,Chinese,female,2,-3,0
0,236,American,male,1,6,0
0,237,American,female,3,-3,0
0,238,African,female,3,-1,0
0,239,American,female,1,1,0
0,240,Indian,female,2,-1,0
0,241,African,female,2,5,0
0,242,Chinese,female,3,7,1
0,243,African,female,2,6,0
0,244,American,female,1,-6,0
0,245,Indian,male,3,7,0
0,246,African,male,1,-2,0
0,247,Chinese,female,2,6,0
0,248,African,male,2,5,0
0,249,Chinese,female,3,2,0
0,250,African,male,1,-2,0
0,251,Indian,male,1,-6,0
0,252,Indian,male,1,-1,0
0,253,Indian,male,2,2,0
0,254,Chinese,female,3,-6,0
0,255,Indian,male,3,4,0
0,256,Indian,male,2,-4,0
0,257,Indian,male,1,4,0
0,258,Indian,male,3,1,0
0,259,African,female,1,6,0
0,260,German,male,3,8,0
0,261,Chinese,female,2,1,0
0,262,African,female,1,-4,0
0,263,German,female,2,1,0
0,264,African,male,1,-6,0
0,265,Indian,female,1,-3,0
0,266,German,male,2,6,0
0,267,German,female,2,-1,0
0,268,American,male,3,-1,0
0,269,Chinese,female,1,-1,1
0,270,German,female,2,-1,0
0,271,Chinese,female,2,8,1
0,272,African,female,2,-2,0
0,273,African,male,1,-6,0
0,274,American,female,3,-5,0
0,275,Chinese,male,1,5,0
0,276,Chinese,male,3,5,0
0,277,African,male,2,-2,0
0,278,American,male,2,-3,0
0,279,African,male,1,4,0
0,280,Indian,male,3,-2,0
0,281,Indian,male,1,-2,0
0,282,Indian,male,3,-5,0
0,283,German,female,3,2,0
0,284,Indian,male,3,-5,0
0,285,Chinese,female,2,6,0
0,286,American,female,1,6,0
0,287,Chinese,male,1,7,0
0,288,Chinese,male,2,-4,0
0,289,African,male,3,7,0
0,290,German,female,2,8,0
0,291,American,female,2,6,0
0,292,Chinese,male,2,-4,0
0,293,German,male,2,8,0
0,294,Chinese,male,1,8,0
0,295,African,male,2,-1,0
0,296,German,male,1,8,0
0,297,African,female,3,5,0
0,298,Indian,male,3,4,0
0,299,Chinese,female,1,2,0
0,300,Indian,female,1,6,0
0,301,African,female,3,-6,1
0,302,Indian,male,3,7,0
0,303,Chinese,female,2,-2,0
0,304,African,male,1,6,0
0,305,German,male,1,-2,0
0,306,African,male,3,8,1
0,307,German,male,3,-5,1
0,308,German,female,2,3,0
0,309,American,female,2,-6,0
0,310,Indian,male,3,-5,0
0,311,African,male,1,3,0
0,312,Chinese,male,3,-1,0
0,313,American,female,2,-5,0
0,314,African,female,3,2,0
0,315,African,male,2,-3,0
0,316,German,female,3,-3,0
0,317,Chinese,male,3,8,0
0,318,German,male,1,-2,0
0,319,African,female,2,-1,0
0,320,African,female,1,5,0
0,321,American,male,2,-3,0
0,322,German,female,1,-1,0
0,323,Indian,male,3,8,0
0,324,American,male,1,-5,0
0,325,American,male,3,1,0
0,326,American,male,3,-3,0
0,327,African,female,3,2,1
0,328,Indian,female,2,6,1
0,329,Indian,female,1,-2,0
0,330,Indian,female,2,6,1
0,331,German,male,3,5,1
0,332,German,female,2,-3,0
0,333,African,male,2,-4,0
0,334,African,female,1,-6,0
0,335,Chinese,male,1,4,0
0,336,African,male,3,-1,0
0,337,German,male,1,-6,0
0,338,American,female,1,1,0
0,339,German,male,2,6,0
0,340,Indian,male,3,-1,0
0,341,African,female,1,5,0
0,342,German,male,1,-5,0
0,343,Indian,male,3,5,0
0,344,Chinese,male,3,3,0
0,345,American,female,1,4,0
0,346,Chinese,male,2,5,0
0,347,German,female,1,5,0
0,348,African,male,3,4,0
0,349,African,male,2,-4,1
0,350,Chinese,male,2,2,0
0,351,African,male,1,1,0
0,352,Chinese,male,2,-3,0
0,353,Indian,male,1,-4,0
0,354,Chinese,male,3,7,0
0,355,Chinese,female,3,5,0
0,356,Chinese,female,3,1,1
0,357,African,male,1,4,0
0,358,American,male,3,-5,0
0,359,African,female,1,2,0
0,360,German,male,3,6,0
0,361,African,male,2,-1,0
0,362,Chinese,female,1,-3,0
0,363,German,male,3,-4,0
0,364,Indian,female,1,5,0
0,365,African,female,2,-2,0
0,366,Indian,male,3,-3,0
0,367,Indian,male,3,6,0
0,368,Chinese,male,2,-2,0
0,369,African,male,1,1,0
0,370,Chinese,female,1,3,0
0,371,German,male,1,3,0
0,372,African,female,3,7,0
0,373,African,male,3,1,0
0,374,Chinese,female,3,3,0
0,375,American,female,3,-6,0
0,376,German,male,1,-3,0
0,377,German,female,2,4,0
0,378,Chinese,male,1,-1,0
0,379,Indian,male,1,7,0
0,380,American,male,2,3,0
0,381,American,male,3,3,0
0,382,Chinese,male,1,4,0
0,383,Chinese,female,3,7,0
0,384,African,female,3,-4,0
0,385,Indian,female,1,-4,0
0,386,Indian,male,1,1,0
0,387,African,male,2,6,0
0,388,Chinese,female,3,3,0
0,389,German,male,2,2,0
0,390,Indian,male,1,4,0
0,391,Chinese,female,1,2,0
0,392,Chinese,male,1,-1,0
0,393,Indian,male,1,-1,0
0,394,Indian,male,3,2,0
0,395,German,female,3,4,0
0,396,African,female,1,6,0
0,397,American,male,2,4,0
0,398,African,male,1,8,1
0,399,German,female,2,4,0
0,400,Chinese,female,1,7,0
1,1,German,male,2,2,0
1,2,German,male,6,0,0
1,3,German,male,5,4,0
1,4,African,female,2,-1,0
1,5,African,male,4,-9,0
1,6,Chinese,female,4,4,0
1,7,African,male,2,4,0
1,8,Indian,male,5,-11,1
1,9,Indian,female,2,4,1
1,10,German,female,5,6,0
1,11,Indian,male,6,7,0
1,12,Indian,male,3,-1,0
1,13,Indian,male,4,-5,0
1,14,Indian,male,5,9,0
1,15,African,female,2,-5,0
1,16,German,female,4,3,0
1,17,African,female,4,-5,0
1,18,American,male,2,7,0
1,19,German,female,4,0,0
1,20,American,female,4,-9,1
1,21,Chinese,female,3,-7,0
1,22,American,female,3,5,0
1,23,German,female,5,10,1
1,24,German,male,2,-1,0
1,25,American,female,4,2,0
1,26,Chinese,female,2,10,0
1,27,German,male,2,7,0
1,28,Chinese,male,6,0,0
1,29,German,male,5,7,0
1,30,American,female,4,-2,0
1,31,African,female,4,5,1
1,32,Chinese,male,3,-2,0
1,33,Indian,female,2,7,0
1,34,Indian,male,2,10,0
1,35,Indian,male,6,5,0
1,36,Indian,male,3,0,0
1,37,American,female,3,-1,0
1,38,Chinese,male,6,5,0
1,39,German,female,6,5,0
1,40,Chinese,female,4,-7,0
1,41,Chinese,male,6,7,0
1,42,German,female,4,6,0
1,43,African,female,4,-5,0
1,44,African,male,4,-10,0
1,45,Chinese,male,3,-4,0
1,46,African,female,4,9,0
1,47,Indian,male,2,-7,0
1,48,Chinese,female,4,9,0
1,49,German,male,4,-1,0
1,50,Chinese,male,4,4,0
1,51,African,female,5,-8,0
1,52,Indian,male,3,-5,0
1,53,Chinese,male,3,7,0
1,54,American,female,6,12,0
1,55,Chinese,male,4,-10,0
1,56,American,male,6,0,1
1,57,American,male,5,3,0
1,58,African,female,5,0,0
1,59,Chinese,female,2,12,0
1,60,German,male,3,-7,0
1,61,Chinese,female,3,3,1
1,62,African,female,5,-8,0
1,63,German,female,5,-1,0
1,64,German,female,3,1,0
1,65,Indian,male,5,2,0
1,66,German,female,3,-11,0
1,67,American,female,5,-2,0
1,68,Indian,male,3,10,0
1,69,German,male,3,3,0
1,70,Indian,male,3,15,0
1,71,African,male,6,-5,0
1,72,Chinese,male,6,13,0
1,73,German,male,4,12,0
1,74,African,female,4,-6,1
1,75,Indian,male,4,-7,0
1,76,African,male,4,11,0
1,77,African,female,6,-8,0
1,78,Indian,female,6,9,0
1,79,American,female,4,6,0
1,80,Indian,female,3,4,0
1,81,African,female,4,-2,0
1,82,American,male,2,1,0
1,83,American,male,4,5,0
1,84,Indian,male,2,15,0
1,85,American,male,3,10,0
1,86,Indian,male,4,7,0
1,87,American,male,4,6,0
1,88,American,male,6,11,0
1,89,Chinese,male,3,3,0
1,90,African,female,6,4,0
1,91,German,female,3,0,0
1,92,German,female,4,-9,1
1,93,African,male,4,11,0
1,94,Indian,female,4,5,0
1,95,German,male,6,3,0
1,96,Chinese,female,4,0,0
1,97,Indian,female,4,12,0
1,98,Chinese,female,3,-3,0
1,99,American,male,6,2,0
1,100,Indian,male,3,7,0
1,101,Chinese,female,2,6,0
1,102,Indian,male,2,4,0
1,103,American,male,4,1,0
1,104,African,female,3,13,0
1,105,American,female,5,9,1
1,106,African,female,5,0,0
