Timestep,Person,Nationality,Gender,X_Coord,Y_Coord,Target
0,1,German,female,2,-3,0
0,2,American,male,3,8,0
0,3,Indian,male,1,-3,0
0,4,African,male,2,1,0
0,5,Indian,male,1,-1,0
0,6,American,male,1,6,0
0,7,German,male,1,-4,0
0,8,Indian,female,3,-5,0
0,9,American,female,2,-1,0
0,10,African,male,1,-6,0
0,11,Chinese,male,2,-3,0
0,12,American,female,2,7,0
0,13,Indian,female,2,7,0
0,14,German,female,1,1,0
0,15,Chinese,female,3,-3,0
0,16,German,female,2,6,0
0,17,African,female,3,-3,0
0,18,Indian,male,3,3,0
0,19,Indian,female,3,-1,0
0,20,German,male,3,5,0
0,21,Indian,female,2,4,0
0,22,German,male,1,-5,0
0,23,Indian,male,2,-6,0
0,24,American,female,1,3,0
0,25,German,male,1,7,0
0,26,Chinese,female,1,2,0
0,27,American,male,1,-3,0
0,28,German,male,2,-5,0
0,29,Chinese,female,3,4,0
0,30,African,female,1,5,0
0,31,American,female,1,-2,0
0,32,Indian,male,2,6,0
0,33,Chinese,male,1,8,0
0,34,German,male,1,-1,0
0,35,Indian,female,2,8,0
0,36,Chinese,female,2,5,0
0,37,German,female,1,2,0
0,38,Indian,male,1,-4,0
0,39,Indian,male,3,6,0
0,40,American,male,1,8,0
0,41,African,male,3,6,0
0,42,American,male,1,-2,0
0,43,German,male,2,-5,0
0,44,Chinese,male,2,7,0
0,45,African,female,2,7,0
0,46,American,female,2,7,0
0,47,German,female,2,6,0
0,48,African,female,1,3,0
0,49,Indian,male,2,-4,0
0,50,American,female,1,8,0
0,51,American,female,2,-6,0
0,52,American,female,3,-5,0
0,53,German,female,1,1,0
0,54,Chinese,female,1,-5,0
0,55,American,male,2,6,0
0,56,Indian,male,2,-3,0
0,57,Chinese,female,2,5,0
0,58,German,male,1,4,0
0,59,Chinese,female,2,4,0
0,60,Indian,female,2,-5,0
0,61,German,male,2,8,0
0,62,Indian,male,3,-4,0
0,63,Indian,female,3,-2,0
0,64,African,female,1,2,0
0,65,American,male,1,4,0
0,66,American,female,3,-3,0
0,67,German,female,2,6,0
0,68,African,female,3,7,0
0,69,American,male,2,-3,0
0,70,German,male,2,5,0
0,71,American,male,2,6,0
0,72,Indian,male,3,6,0
0,73,German,male,1,-2,0
0,74,German,female,1,-3,0
0,75,Chinese,male,1,-5,0
0,76,Chinese,male,2,-1,0
0,77,German,female,1,-1,0
0,78,African,female,1,1,0
0,79,Indian,male,3,-1,0
0,80,German,male,2,5,0
0,81,Chinese,male,1,-4,0
0,82,American,male,3,1,0
0,83,Chinese,female,2,3,0
0,84,Chinese,male,3,-6,0
0,85,American,male,3,-4,0
0,86,Indian,female,1,-5,0
0,87,African,male,1,2,0
0,88,African,female,1,2,0
0,89,American,female,2,4,0
0,90,Chinese,female,3,-4,0
0,91,Indian,male,1,-1,0
0,92,American,female,3,3,0
0,93,African,male,3,-2,0
0,94,American,female,2,-6,0
0,95,African,female,3,1,0
0,96,Chinese,female,1,2,0
0,97,Chinese,female,3,6,0
0,98,African,female,3,-5,0
0,99,German,female,1,-3,0
0,100,Indian,male,1,2,0
0,101,German,female,2,2,0
0,102,American,male,1,-3,0
0,103,Chinese,male,1,2,0
0,104,German,male,2,4,0
0,105,Indian,female,3,7,0
0,106,African,female,1,-2,0
0,107,Chinese,male,1,-4,0
0,108,Indian,female,3,6,0
0,109,African,male,1,-5,0
0,110,Indian,female,2,-6,0
0,111,German,female,3,-4,0
0,112,German,female,3,-2,0
0,113,Chinese,male,2,-6,0
0,114,American,female,3,3,0
0,115,Chinese,female,1,2,0
0,116,Indian,male,1,2,0
0,117,African,female,1,-3,0
0,118,American,male,2,-6,0
0,119,German,female,1,5,0
0,120,Indian,female,2,1,0
0,121,German,female,2,7,0
0,122,Chinese,male,3,2,0
0,123,American,male,3,-3,0
0,124,African,female,1,7,0
0,125,Indian,male,3,-1,0
0,126,American,male,1,-6,0
0,127,African,male,2,-3,0
0,128,German,male,3,4,0
0,129,Indian,female,2,-5,0
0,130,American,female,2,-2,0
0,131,American,male,2,-1,0
0,132,American,female,2,-1,0
0,133,Indian,male,3,4,0
0,134,American,male,2,-1,0
0,135,German,male,2,-3,0
0,136,German,male,1,3,0
0,137,Indian,female,1,3,0
0,138,Chinese,female,1,1,0
0,139,German,male,3,8,0
0,140,African,female,3,6,0
0,141,Chinese,male,3,6,0
0,142,Chinese,male,2,4,0
0,143,African,female,3,-5,0
0,144,German,female,3,-3,0
0,145,Indian,female,1,1,0
0,146,Chinese,female,2,2,0
0,147,Chinese,female,1,-5,0
0,148,African,male,3,-6,0
0,149,Chinese,female,2,5,0
0,150,Indian,male,1,4,0
0,151,Chinese,male,1,-2,0
0,152,German,female,2,-3,0
0,153,Chinese,female,3,-6,0
0,154,African,male,1,2,0
0,155,American,male,3,-5,0
0,156,Chinese,female,3,8,0
0,157,Indian,female,2,6,0
0,158,American,female,3,7,0
0,159,Chinese,male,3,3,0
0,160,Indian,male,3,8,0
0,161,Chinese,female,2,-5,0
0,162,African,female,2,8,0
0,163,Chinese,male,3,7,0
0,164,Chinese,male,1,-1,0
0,165,German,female,3,1,0
0,166,German,female,1,-6,0
0,167,African,male,3,4,0
0,168,German,male,1,-2,0
0,169,Indian,male,2,1,0
0,170,Chinese,female,1,4,0
0,171,American,male,3,7,0
0,172,American,female,3,-6,0
0,173,American,female,2,-5,0
0,174,American,male,3,-4,0
0,175,African,male,3,-1,0
0,176,Indian,male,1,8,0
0,177,German,male,3,2,0
0,178,German,female,1,-1,0
0,179,Indian,female,3,-2,0
0,180,African,male,2,-6,0
0,181,American,male,3,8,0
0,182,American,female,1,-2,0
0,183,German,female,1,7,0
0,184,African,male,2,2,0
0,185,German,female,1,-4,0
0,186,American,male,2,-2,0
0,187,Indian,male,2,-2,0
0,188,African,female,3,-3,0
0,189,German,female,3,3,0
0,190,German,male,1,8,0
0,191,American,male,1,-4,0
0,192,Indian,female,3,-6,0
0,193,Indian,female,3,5,0
0,194,American,male,3,3,0
0,195,Chinese,female,2,5,0
0,196,Indian,female,2,-1,0
0,197,Chinese,female,2,2,0
0,198,Chinese,female,3,-2,0
0,199,African,female,2,-6,0
0,200,African,male,1,-2,0
0,201,African,female,3,-4,0
0,202,Indian,female,1,-2,0
0,203,Indian,female,3,7,0
0,204,Chinese,male,2,-5,0
0,205,Indian,female,1,7,0
0,206,Indian,female,2,8,0
0,207,American,male,2,-2,0
0,208,American,male,2,-4,0
0,209,American,male,3,1,0
