Step,Entity,X_Coord,Y_Coord,Label
0,1,1.0,-4.0,0
0,2,3.0,8.0,0
0,3,1.0,-5.0,0
0,4,1.0,-5.0,0
0,5,3.0,-2.0,0
0,6,1.0,8.0,0
0,7,1.0,6.0,0
0,8,1.0,-4.0,1
0,9,2.0,1.0,1
0,10,1.0,3.0,0
0,11,3.0,-4.0,0
0,12,3.0,7.0,0
0,13,1.0,-4.0,0
0,14,2.0,2.0,0
0,15,1.0,-5.0,0
0,16,1.0,6.0,0
0,17,1.0,-2.0,0
0,18,1.0,-5.0,0
0,19,1.0,4.0,0
0,20,2.0,6.0,1
0,21,1.0,-5.0,0
0,22,1.0,2.0,0
0,23,3.0,-5.0,1
0,24,1.0,6.0,0
0,25,1.0,1.0,0
0,26,1.0,-3.0,0
0,27,2.0,-6.0,0
0,28,1.0,-2.0,0
0,29,2.0,5.0,0
0,30,3.0,-3.0,0
0,31,3.0,3.0,1
0,32,1.0,2.0,0
0,33,3.0,-2.0,0
0,34,1.0,3.0,0
0,35,3.0,8.0,0
0,36,2.0,-1.0,0
0,37,2.0,-5.0,0
0,38,2.0,1.0,0
0,39,2.0,2.0,0
0,40,1.0,5.0,0
0,41,3.0,4.0,0
0,42,1.0,-3.0,0
0,43,1.0,5.0,0
0,44,1.0,-1.0,0
0,45,3.0,7.0,0
0,46,2.0,-4.0,0
0,47,2.0,-1.0,0
0,48,2.0,-3.0,0
0,49,3.0,-5.0,0
0,50,1.0,-4.0,0
0,51,3.0,4.0,0
0,52,2.0,7.0,0
0,53,1.0,2.0,0
0,54,1.0,6.0,0
0,55,2.0,-6.0,0
0,56,1.0,6.0,1
0,57,2.0,-3.0,0
0,58,1.0,-4.0,0
0,59,2.0,6.0,0
0,60,2.0,-6.0,0
0,61,3.0,-3.0,1
0,62,1.0,1.0,0
0,63,2.0,6.0,0
0,64,1.0,-4.0,0
0,65,2.0,3.0,0
0,66,1.0,3.0,0
0,67,3.0,5.0,0
0,68,2.0,-4.0,0
0,69,3.0,6.0,0
0,70,1.0,1.0,0
0,71,1.0,-5.0,0
0,72,1.0,-3.0,0
0,73,2.0,-2.0,0
0,74,1.0,7.0,1
0,75,2.0,5.0,0
0,76,1.0,1.0,0
0,77,3.0,2.0,0
0,78,3.0,6.0,0
0,79,2.0,4.0,0
0,80,2.0,5.0,0
0,81,2.0,8.0,0
0,82,3.0,-8.0,0
0,83,1.0,-5.0,0
0,84,2.0,5.0,0
0,85,1.0,-6.0,0
0,86,3.0,-5.0,0
0,87,2.0,-2.0,0
0,88,2.0,2.0,0
0,89,2.0,6.0,0
0,90,2.0,4.0,0
0,91,2.0,6.0,0
0,92,1.0,8.0,1
0,93,3.0,8.0,0
0,94,2.0,4.0,0
0,95,1.0,-5.0,0
0,96,2.0,-4.0,0
0,97,2.0,-2.0,0
0,98,2.0,2.0,0
0,99,2.0,4.0,0
0,100,2.0,4.0,0
0,101,3.0,-3.0,0
0,102,2.0,5.0,0
0,103,2.0,7.0,0
0,104,3.0,-3.0,0
0,105,2.0,-4.0,1
0,106,1.0,8.0,0
0,107,1.0,5.0,0
0,108,1.0,-5.0,0
0,109,3.0,-5.0,0
0,110,2.0,3.0,0
0,111,2.0,8.0,0
0,112,2.0,1.0,0
0,113,2.0,-5.0,0
0,114,1.0,-3.0,0
0,115,2.0,-4.0,1
0,116,3.0,-2.0,0
0,117,1.0,-2.0,0
0,118,2.0,8.0,0
0,119,1.0,-6.0,0
0,120,1.0,5.0,0
0,121,1.0,6.0,0
0,122,3.0,5.0,0
0,123,2.0,2.0,0
0,124,3.0,4.0,0
0,125,3.0,8.0,0
0,126,1.0,-4.0,0
0,127,3.0,-4.0,0
0,128,1.0,4.0,0
0,129,2.0,4.0,0
0,130,1.0,6.0,0
0,131,3.0,-4.0,0
0,132,2.0,5.0,1
0,133,1.0,-1.0,0
0,134,3.0,7.0,0
0,135,2.0,7.0,0
0,136,1.0,-4.0,0
0,137,1.0,2.0,0
0,138,1.0,2.0,0
0,139,2.0,-6.0,0
0,140,2.0,2.0,0
0,141,2.0,3.0,0
0,142,3.0,3.0,0
0,143,2.0,7.0,0
0,144,1.0,3.0,0
0,145,3.0,1.0,0
0,146,3.0,-6.0,0
0,147,1.0,4.0,0
0,148,1.0,7.0,0
0,149,3.0,1.0,0
0,150,1.0,6.0,0
0,151,3.0,1.0,0
0,152,2.0,-3.0,0
0,153,1.0,8.0,0
0,154,3.0,1.0,0
0,155,3.0,1.0,0
0,156,3.0,3.0,0
0,157,3.0,2.0,0
0,158,1.0,3.0,0
0,159,3.0,8.0,1
0,160,2.0,-5.0,1
0,161,3.0,6.0,0
0,162,1.0,-1.0,0
0,163,2.0,-2.0,0
0,164,1.0,-3.0,0
0,165,1.0,4.0,0
0,166,1.0,5.0,1
0,167,2.0,-2.0,0
0,168,1.0,-2.0,0
0,169,1.0,6.0,0
0,170,2.0,6.0,0
0,171,2.0,8.0,0
0,172,3.0,7.0,0
0,173,3.0,-6.0,0
0,174,3.0,-4.0,0
0,175,2.0,-5.0,0
0,176,2.0,5.0,0
0,177,1.0,6.0,0
0,178,1.0,7.0,0
0,179,1.0,2.0,0
0,180,2.0,-5.0,0
0,181,1.0,2.0,0
0,182,1.0,-6.0,1
0,183,1.0,6.0,0
0,184,1.0,8.0,0
0,185,1.0,6.0,0
0,186,3.0,-4.0,0
0,187,1.0,7.0,1
0,188,3.0,-3.0,0
0,189,3.0,4.0,0
0,190,1.0,3.0,0
0,191,1.0,-1.0,0
0,192,3.0,7.0,0
0,193,2.0,2.0,0
0,194,1.0,7.0,1
0,195,1.0,1.0,0
0,196,3.0,5.0,0
0,197,1.0,8.0,0
0,198,2.0,8.0,0
0,199,2.0,4.0,0
0,200,1.0,7.0,1
0,201,1.0,7.0,0
0,202,1.0,-2.0,0
0,203,1.0,5.0,1
0,204,2.0,-3.0,0
0,205,3.0,-3.0,0
0,206,1.0,-4.0,0
0,207,2.0,7.0,0
0,208,3.0,5.0,1
0,209,2.0,-1.0,0
0,210,3.0,3.0,0
0,211,3.0,-3.0,1
0,212,1.0,3.0,0
0,213,3.0,-5.0,0
0,214,1.0,-2.0,0
0,215,1.0,-3.0,0
0,216,2.0,4.0,0
0,217,3.0,3.0,0
0,218,2.0,-4.0,0
0,219,3.0,2.0,0
0,220,1.0,7.0,1
0,221,1.0,-3.0,0
0,222,2.0,1.0,0
0,223,2.0,-3.0,0
0,224,2.0,-4.0,0
0,225,2.0,-3.0,1
0,226,1.0,-6.0,0
0,227,2.0,1.0,0
0,228,1.0,8.0,0
0,229,2.0,-1.0,0
0,230,3.0,-2.0,0
0,231,1.0,-5.0,0
0,232,2.0,5.0,0
0,233,3.0,1.0,0
0,234,2.0,4.0,0
0,235,2.0,3.0,0
0,236,3.0,-6.0,0
0,237,2.0,-3.0,0
0,238,1.0,-3.0,0
0,239,3.0,3.0,0
0,240,1.0,4.0,0
0,241,1.0,6.0,0
0,242,3.0,4.0,1
0,243,3.0,2.0,0
0,244,3.0,-5.0,0
0,245,1.0,6.0,0
0,246,2.0,-1.0,0
0,247,1.0,-5.0,0
0,248,1.0,8.0,0
0,249,3.0,-3.0,0
0,250,1.0,-6.0,0
0,251,1.0,-1.0,0
0,252,1.0,-3.0,0
0,253,3.0,-5.0,0
0,254,3.0,4.0,0
0,255,1.0,5.0,0
0,256,1.0,8.0,0
0,257,1.0,-4.0,0
0,258,2.0,-2.0,0
0,259,1.0,2.0,0
0,260,2.0,5.0,0
0,261,1.0,3.0,0
0,262,3.0,3.0,0
0,263,3.0,8.0,0
0,264,2.0,2.0,0
0,265,1.0,1.0,0
0,266,2.0,3.0,0
0,267,3.0,5.0,0
0,268,1.0,1.0,0
0,269,3.0,8.0,1
0,270,1.0,5.0,0
0,271,3.0,4.0,1
0,272,3.0,-2.0,0
0,273,2.0,8.0,0
0,274,1.0,8.0,0
0,275,1.0,-1.0,0
0,276,2.0,8.0,0
0,277,2.0,7.0,0
0,278,3.0,8.0,0
0,279,3.0,-6.0,0
0,280,1.0,-3.0,0
0,281,1.0,-5.0,0
0,282,2.0,-4.0,0
0,283,3.0,-2.0,0
0,284,1.0,-6.0,0
0,285,1.0,2.0,0
0,286,1.0,-5.0,0
0,287,1.0,7.0,0
0,288,2.0,8.0,0
0,289,3.0,-6.0,0
0,290,2.0,-2.0,0
0,291,3.0,3.0,0
0,292,2.0,3.0,0
0,293,3.0,5.0,0
0,294,3.0,7.0,0
0,295,1.0,4.0,0
0,296,2.0,-5.0,0
0,297,2.0,-3.0,0
0,298,3.0,7.0,0
0,299,3.0,1.0,0
0,300,1.0,4.0,0
0,301,1.0,5.0,1
0,302,3.0,-2.0,0
0,303,3.0,-5.0,0
0,304,1.0,-6.0,0
0,305,2.0,4.0,0
0,306,2.0,-6.0,1
0,307,3.0,7.0,1
0,308,1.0,-3.0,0
0,309,3.0,-10.0,0
0,310,1.0,7.0,0
0,311,2.0,-3.0,0
0,312,3.0,-1.0,0
0,313,2.0,-2.0,0
0,314,1.0,6.0,0
0,315,3.0,5.0,0
0,316,3.0,1.0,0
0,317,1.0,1.0,0
0,318,3.0,5.0,0
0,319,3.0,3.0,0
0,320,1.0,4.0,0
0,321,1.0,-2.0,0
0,322,3.0,-4.0,0
0,323,1.0,-4.0,0
0,324,2.0,-5.0,0
0,325,2.0,7.0,0
0,326,2.0,-4.0,0
0,327,2.0,-4.0,1
0,328,2.0,4.0,1
0,329,2.0,4.0,0
0,330,2.0,2.0,1
0,331,3.0,-2.0,1
0,332,3.0,7.0,0
0,333,3.0,5.0,0
0,334,2.0,-6.0,0
0,335,3.0,-10.0,0
0,336,1.0,4.0,0
0,337,3.0,-1.0,0
0,338,1.0,-6.0,0
0,339,2.0,5.0,0
0,340,2.0,-3.0,0
0,341,1.0,-6.0,0
0,342,2.0,-5.0,0
0,343,2.0,2.0,0
0,344,2.0,5.0,0
0,345,2.0,1.0,0
0,346,2.0,8.0,0
0,347,2.0,-4.0,0
0,348,1.0,-6.0,0
0,349,2.0,-3.0,1
0,350,2.0,1.0,0
0,351,2.0,-3.0,0
0,352,1.0,5.0,0
0,353,3.0,-3.0,0
0,354,3.0,-3.0,0
0,355,2.0,-2.0,0
0,356,2.0,7.0,1
0,357,1.0,-6.0,0
0,358,3.0,-2.0,0
0,359,3.0,3.0,0
0,360,1.0,-6.0,0
0,361,2.0,-2.0,0
0,362,3.0,1.0,0
0,363,3.0,1.0,0
0,364,1.0,6.0,0
0,365,2.0,-3.0,0
0,366,1.0,7.0,0
0,367,2.0,3.0,0
0,368,1.0,1.0,0
0,369,3.0,-6.0,0
0,370,1.0,4.0,0
0,371,1.0,7.0,0
0,372,3.0,7.0,0
0,373,2.0,4.0,0
0,374,3.0,1.0,0
0,375,3.0,3.0,0
0,376,3.0,-6.0,0
0,377,1.0,-3.0,0
0,378,2.0,4.0,0
0,379,1.0,-1.0,0
0,380,1.0,7.0,0
0,381,2.0,3.0,0
0,382,3.0,3.0,0
0,383,1.0,4.0,0
0,384,3.0,7.0,0
0,385,1.0,-2.0,0
0,386,2.0,-5.0,0
0,387,3.0,7.0,0
0,388,3.0,3.0,0
0,389,3.0,-2.0,0
0,390,2.0,5.0,0
0,391,2.0,7.0,0
0,392,1.0,6.0,0
0,393,3.0,-2.0,0
0,394,2.0,4.0,0
0,395,3.0,6.0,0
0,396,1.0,6.0,0
0,397,2.0,-4.0,0
0,398,1.0,8.0,1
0,399,3.0,2.0,0
0,400,2.0,-1.0,0
1,1,4.0,-1.0,0
1,2,4.0,13.0,0
1,3,4.0,-11.0,0
1,4,3.0,2.0,0
1,5,5.0,0.0,0
1,6,4.0,7.0,0
1,7,4.0,9.0,0
1,8,4.0,-7.0,1
1,9,5.0,2.0,1
1,10,4.0,0.0,0
1,11,4.0,-5.0,0
1,12,5.0,9.0,0
1,13,2.0,-5.0,0
1,14,4.0,3.0,0
1,15,3.0,1.0,0
1,16,2.0,7.0,0
1,17,4.0,0.0,0
1,18,4.0,-9.0,0
1,19,2.0,9.0,0
1,20,3.0,9.0,1
1,21,4.0,-10.0,0
1,22,3.0,0.0,0
1,23,5.0,2.0,1
1,24,4.0,0.0,0
1,25,3.0,7.0,0
1,26,4.0,5.0,0
1,27,4.0,-2.0,0
1,28,4.0,-8.0,0
1,29,3.0,1.0,0
1,30,6.0,-8.0,0
1,31,6.0,0.0,1
1,32,2.0,5.0,0
1,33,4.0,-5.0,0
1,34,4.0,4.0,0
1,35,4.0,7.0,0
1,36,5.0,4.0,0
1,37,3.0,-15.0,0
1,38,3.0,0.0,0
1,39,3.0,-1.0,0
1,40,4.0,9.0,0
1,41,5.0,7.0,0
1,42,3.0,3.0,0
1,43,4.0,11.0,0
1,44,4.0,4.0,0
1,45,4.0,4.0,0
1,46,3.0,3.0,0
1,47,4.0,7.0,0
1,48,4.0,-4.0,0
1,49,4.0,-2.0,0
1,50,2.0,-7.0,0
1,51,6.0,2.0,0
1,52,4.0,12.0,0
1,53,3.0,5.0,0
1,54,3.0,3.0,0
1,55,5.0,-2.0,0
1,56,3.0,10.0,1
1,57,5.0,-5.0,0
1,58,2.0,-8.0,0
1,59,5.0,4.0,0
1,60,4.0,-4.0,0
1,61,6.0,-5.0,1
1,62,4.0,6.0,0
1,63,3.0,11.0,0
1,64,4.0,-2.0,0
1,65,5.0,11.0,0
1,66,3.0,9.0,0
1,67,4.0,0.0,0
1,68,5.0,-1.0,0
1,69,4.0,13.0,0
1,70,2.0,-2.0,0
1,71,3.0,3.0,0
1,72,4.0,-7.0,0
1,73,3.0,2.0,0
1,74,3.0,11.0,1
1,75,4.0,7.0,0
1,76,3.0,0.0,0
1,77,5.0,3.0,0
1,78,5.0,13.0,0
1,79,4.0,11.0,0
1,80,5.0,6.0,0
1,81,5.0,6.0,0
1,82,4.0,-8.0,0
1,83,2.0,-2.0,0
1,84,5.0,13.0,0
1,85,3.0,-4.0,0
1,86,5.0,-9.0,0
1,87,4.0,-4.0,0
1,88,4.0,8.0,0
1,89,5.0,10.0,0
1,90,5.0,7.0,0
1,91,3.0,3.0,0
1,92,2.0,7.0,1
1,93,4.0,5.0,0
1,94,3.0,7.0,0
1,95,3.0,-8.0,0
1,96,4.0,4.0,0
1,97,5.0,-7.0,0
1,98,4.0,4.0,0
1,99,4.0,-1.0,0
1,100,4.0,12.0,0
1,101,4.0,-10.0,0
1,102,5.0,6.0,0
1,103,5.0,8.0,0
1,104,4.0,3.0,0
1,105,3.0,0.0,1
1,106,2.0,2.0,0
1,107,2.0,10.0,0
1,108,3.0,-2.0,0
1,109,5.0,0.0,0
1,110,5.0,5.0,0
1,111,5.0,12.0,0
1,112,3.0,8.0,0
1,113,3.0,-9.0,0
1,114,2.0,-9.0,0
1,115,5.0,-6.0,1
1,116,4.0,6.0,0
1,117,2.0,-8.0,0
1,118,3.0,15.0,0
1,119,3.0,-2.0,0
1,120,3.0,1.0,0
1,121,4.0,10.0,0
1,122,5.0,3.0,0
1,123,3.0,6.0,0
1,124,4.0,0.0,0
1,125,4.0,6.0,0
1,126,4.0,-3.0,0
1,127,5.0,-6.0,0
1,128,2.0,6.0,0
1,129,4.0,11.0,0
1,130,3.0,0.0,0
1,131,5.0,3.0,0
1,132,3.0,11.0,1
1,133,2.0,3.0,0
1,134,5.0,1.0,0
1,135,3.0,9.0,0
1,136,2.0,0.0,0
1,137,4.0,5.0,0
1,138,3.0,9.0,0
1,139,5.0,2.0,0
1,140,5.0,8.0,0
1,141,5.0,5.0,0
