Step,Entity,X_Coord,Y_Coord,Label
0,1,1.0,-1.0,0
0,2,3.0,6.0,0
0,3,3.0,-4.0,0
0,4,1.0,3.0,0
0,5,1.0,1.0,0
0,6,3.0,8.0,0
0,7,3.0,5.0,0
0,8,2.0,7.0,1
0,9,1.0,-5.0,1
0,10,1.0,-6.0,0
0,11,2.0,-4.0,0
0,12,2.0,2.0,0
0,13,3.0,-2.0,0
0,14,2.0,7.0,0
0,15,2.0,-1.0,0
0,16,1.0,-2.0,0
0,17,3.0,5.0,0
0,18,3.0,5.0,0
0,19,3.0,1.0,0
0,20,2.0,-2.0,1
0,21,3.0,6.0,0
0,22,2.0,3.0,0
0,23,1.0,-3.0,1
0,24,3.0,4.0,0
0,25,1.0,-6.0,0
0,26,1.0,4.0,0
0,27,2.0,-2.0,0
0,28,1.0,3.0,0
0,29,1.0,-5.0,0
0,30,1.0,1.0,0
0,31,2.0,1.0,1
0,32,1.0,-5.0,0
0,33,3.0,4.0,0
0,34,3.0,2.0,0
0,35,1.0,1.0,0
0,36,3.0,-3.0,0
0,37,3.0,2.0,0
0,38,2.0,3.0,0
0,39,2.0,1.0,0
0,40,3.0,-5.0,0
0,41,1.0,1.0,0
0,42,1.0,-1.0,0
0,43,1.0,2.0,0
0,44,1.0,-2.0,0
0,45,2.0,5.0,0
0,46,3.0,-1.0,0
0,47,1.0,-5.0,0
0,48,3.0,-5.0,0
0,49,1.0,6.0,0
0,50,1.0,4.0,0
0,51,3.0,3.0,0
0,52,2.0,2.0,0
0,53,3.0,8.0,0
0,54,3.0,-4.0,0
0,55,3.0,2.0,0
0,56,1.0,-4.0,1
0,57,1.0,-4.0,0
0,58,3.0,7.0,0
0,59,3.0,-3.0,0
0,60,2.0,2.0,0
0,61,1.0,4.0,1
0,62,3.0,-2.0,0
0,63,3.0,2.0,0
0,64,3.0,-2.0,0
0,65,2.0,-1.0,0
0,66,3.0,3.0,0
0,67,2.0,8.0,0
0,68,1.0,-3.0,0
0,69,3.0,7.0,0
0,70,2.0,4.0,0
0,71,1.0,6.0,0
0,72,1.0,-6.0,0
0,73,3.0,1.0,0
0,74,2.0,-6.0,1
0,75,2.0,-6.0,0
0,76,2.0,-3.0,0
0,77,2.0,-6.0,0
0,78,2.0,4.0,0
0,79,3.0,-3.0,0
0,80,2.0,6.0,0
0,81,1.0,6.0,0
0,82,2.0,8.0,0
0,83,3.0,2.0,0
0,84,2.0,2.0,0
0,85,3.0,8.0,0
0,86,1.0,-6.0,0
0,87,1.0,7.0,0
0,88,2.0,-5.0,0
0,89,2.0,-6.0,0
0,90,2.0,7.0,0
0,91,3.0,-1.0,0
0,92,3.0,-6.0,1
0,93,1.0,8.0,0
0,94,1.0,6.0,0
0,95,1.0,7.0,0
0,96,2.0,-1.0,0
0,97,1.0,5.0,0
0,98,1.0,-1.0,0
0,99,2.0,3.0,0
0,100,1.0,6.0,0
0,101,3.0,1.0,0
0,102,3.0,-6.0,0
0,103,3.0,-6.0,0
0,104,2.0,4.0,0
0,105,1.0,4.0,1
0,106,2.0,-5.0,0
0,107,1.0,-3.0,0
0,108,3.0,6.0,0
0,109,3.0,-1.0,0
0,110,2.0,-1.0,0
0,111,1.0,4.0,0
0,112,2.0,-4.0,0
0,113,3.0,2.0,0
0,114,3.0,5.0,0
0,115,3.0,6.0,1
0,116,1.0,2.0,0
0,117,3.0,4.0,0
0,118,2.0,-1.0,0
0,119,3.0,-4.0,0
0,120,1.0,1.0,0
0,121,1.0,-6.0,0
0,122,2.0,-4.0,0
0,123,3.0,1.0,0
0,124,2.0,2.0,0
0,125,1.0,3.0,0
0,126,1.0,3.0,0
0,127,1.0,5.0,0
0,128,1.0,-5.0,0
0,129,2.0,-1.0,0
0,130,1.0,-5.0,0
0,131,2.0,-3.0,0
0,132,1.0,2.0,1
0,133,1.0,-2.0,0
0,134,1.0,1.0,0
0,135,1.0,-6.0,0
0,136,3.0,-5.0,0
0,137,1.0,8.0,0
0,138,1.0,1.0,0
0,139,3.0,2.0,0
0,140,3.0,-4.0,0
0,141,3.0,-3.0,0
