Step,Entity,X_Coord,Y_Coord,Label
0,1,1.0,-2.0,1
0,2,3.0,7.0,0
0,3,3.0,6.0,1
0,4,3.0,-3.0,0
0,5,2.0,5.0,1
0,6,3.0,-6.0,0
1,1,4.0,2.0,1
1,2,6.0,9.0,0
1,3,5.0,2.0,1
1,4,5.0,-2.0,0
1,5,4.0,6.0,1
1,6,6.0,-2.0,0
2,1,7.0,-1.0,1
2,2,8.0,12.0,0
2,3,6.0,10.0,1
2,4,8.0,5.0,0
2,5,5.0,13.0,1
2,6,8.0,4.0,0
3,1,8.0,5.0,1
3,2,10.0,10.0,0
3,3,9.0,5.0,1
3,4,11.0,7.0,0
3,5,6.0,7.0,1
3,6,9.0,-1.0,0
4,1,10.0,3.0,1
4,2,13.0,15.0,0
4,3,11.0,-1.0,1
4,4,14.0,8.0,0
4,5,7.0,3.0,1
4,6,10.0,-5.0,0
5,1,13.0,4.0,1
5,2,16.0,9.0,0
5,3,12.0,4.0,1
5,4,15.0,5.0,0
5,5,10.0,-2.0,1
5,6,12.0,-6.0,0
6,1,14.0,6.0,1
6,2,19.0,17.0,0
6,3,15.0,3.0,1
6,4,18.0,-1.0,0
6,5,12.0,0.0,1
6,6,14.0,0.0,0
7,1,17.0,2.0,1
7,2,20.0,20.0,0
7,3,16.0,-1.0,1
7,4,19.0,-3.0,0
7,5,13.0,-5.0,1
7,6,17.0,3.0,0
8,1,17.0,4.0,1
8,2,21.0,23.0,0
8,3,19.0,4.0,1
8,4,21.0,3.0,0
8,5,16.0,-11.0,1
8,6,18.0,0.0,0
9,1,17.0,6.0,1
9,2,23.0,21.0,0
9,3,21.0,12.0,1
9,4,23.0,10.0,0
9,5,17.0,-7.0,1
9,6,21.0,7.0,0
10,1,17.0,8.0,1
10,2,26.0,27.0,0
10,3,23.0,7.0,1
10,4,26.0,13.0,0
10,5,18.0,-12.0,1
10,6,23.0,6.0,0
11,1,17.0,10.0,1
11,2,27.0,21.0,0
11,3,26.0,12.0,1
11,4,27.0,21.0,0
11,5,21.0,-5.0,1
11,6,25.0,2.0,0
12,1,17.0,12.0,1
12,2,30.0,23.0,0
12,3,29.0,13.0,1
12,4,28.0,18.0,0
12,5,24.0,-11.0,1
12,6,26.0,8.0,0
13,1,17.0,14.0,1
13,2,33.0,31.0,0
13,3,32.0,15.0,1
13,4,31.0,20.0,0
13,5,26.0,-4.0,1
13,6,28.0,15.0,0
14,1,17.0,16.0,1
14,2,36.0,25.0,0
14,3,34.0,16.0,1
14,4,32.0,24.0,0
14,5,29.0,2.0,1
14,6,31.0,16.0,0
15,1,17.0,18.0,1
15,2,38.0,19.0,0
15,3,36.0,15.0,1
15,4,33.0,22.0,0
15,5,31.0,5.0,1
15,6,34.0,21.0,0
16,1,17.0,20.0,1
16,2,40.0,14.0,0
16,3,39.0,12.0,1
16,4,35.0,19.0,0
16,5,33.0,4.0,1
16,6,37.0,15.0,0
17,1,17.0,22.0,1
17,2,41.0,20.0,0
17,3,41.0,19.0,1
17,4,36.0,22.0,0
17,5,35.0,7.0,1
17,6,40.0,21.0,0
18,1,17.0,24.0,1
18,2,42.0,23.0,0
18,3,42.0,18.0,1
18,4,38.0,25.0,0
18,5,38.0,2.0,1
18,6,43.0,22.0,0
19,1,17.0,26.0,1
19,2,45.0,17.0,0
19,3,45.0,15.0,1
19,4,39.0,27.0,0
19,5,39.0,9.0,1
19,6,44.0,29.0,0
20,1,17.0,28.0,1
20,2,46.0,24.0,0
20,3,47.0,21.0,1
20,4,41.0,24.0,0
20,5,41.0,11.0,1
20,6,45.0,31.0,0
21,1,17.0,30.0,1
21,2,49.0,23.0,0
21,3,50.0,22.0,1
21,4,43.0,28.0,0
21,5,44.0,18.0,1
21,6,48.0,33.0,0
22,1,17.0,32.0,1
